index,psnr,ssim,lpips
0,32.860656351550766,0.8166719993245306,0.18788090348243713
1,29.93811759394301,0.8217280327864792,0.17153628170490265
2,32.58936252315109,0.880814670751669,0.08636297285556793
3,31.913652006603396,0.9208733917899168,0.09169936180114746
4,30.812965318443013,0.8344262817933253,0.1251613050699234
5,33.94737388420894,0.9282823027194308,0.08100271224975586
6,34.00292638195754,0.9011371596584761,0.08912131935358047
7,34.46711656597594,0.9153076965446396,0.1020246371626854
8,36.284568493137364,0.9219118907657885,0.10176512598991394
9,34.83110893420989,0.924755743085027,0.06580954790115356
10,34.32291774289972,0.8619776085530745,0.14747516810894012
11,31.44758716645609,0.7420972194035645,0.22380933165550232
12,38.713841953425344,0.9357988124292543,0.07486037909984589
13,34.27957267535104,0.8451764373317873,0.20053640007972717
14,33.13094671272404,0.8295542151937584,0.2128804326057434
15,32.376306832273094,0.7205253394699603,0.2591809034347534
16,34.019846428154565,0.8461840592573919,0.2025170922279358
17,36.63212337405537,0.8789878711551159,0.23837915062904358
18,33.17721627712215,0.8756953748933293,0.10677889734506607
19,38.0021341305129,0.8976876749087124,0.22157323360443115
20,32.15571457195728,0.8358557766327787,0.15037009119987488
21,35.166239987225325,0.8857031222961002,0.17166441679000854
22,36.96154504776509,0.885546999455837,0.22085830569267273
23,37.34889478328676,0.9557225795881269,0.02713659219443798
24,40.33775738015745,0.9669616387794538,0.02411011978983879
25,36.91214719292474,0.9356502664871235,0.09421265125274658
26,35.397218005212714,0.8872527166665698,0.13157814741134644
27,37.314114441310245,0.919754977401445,0.1043512299656868
28,35.433872713482664,0.9245416255990303,0.08474182337522507
29,32.144620739709936,0.7521354377580315,0.17600378394126892
30,32.65104670048389,0.8230199238140968,0.18626537919044495
31,32.27132447058303,0.7157676009719919,0.3030267059803009
32,37.79415816312062,0.9270137530852246,0.038413647562265396
33,31.679459782873998,0.832637613597512,0.14882896840572357
34,29.57554938891413,0.7805844419201788,0.17883308231830597
35,30.015747784037643,0.7046396606000874,0.25317609310150146
36,37.39555321454385,0.9167907723693988,0.04022287577390671
37,32.27640458969333,0.90592706425655,0.049411021173000336
38,32.87273710930555,0.8883494333203652,0.09499344229698181
39,37.21462914877771,0.8929410213238138,0.26916375756263733
40,30.192036018756237,0.7941195492138479,0.21296852827072144
41,34.28599775128821,0.8771671883979608,0.08754555881023407
42,34.1676935709907,0.8881221717990919,0.1411287933588028
43,36.67298950863921,0.9260767889242367,0.10621359199285507
44,32.172920410388876,0.7749197839751422,0.2529449164867401
45,31.327641795319607,0.8867406710261,0.11046501994132996
46,37.18680222531751,0.9258453158973466,0.09327571094036102
47,36.84128801879353,0.934946928489211,0.028618481010198593
48,31.559752330453996,0.8123963732679033,0.19816797971725464
49,31.455915914394957,0.8879309188975815,0.1135442778468132
50,32.31068095616978,0.9314326703259793,0.10063677281141281
51,34.32445026505973,0.8930128590027318,0.12011568993330002
52,34.453674026465286,0.9196881345723883,0.06698881834745407
53,30.033160681858337,0.7041540139477491,0.24717196822166443
54,39.06578031238434,0.9757855089133148,0.012132545933127403
55,31.89694453492762,0.9201398137114887,0.09483635425567627
56,37.877942514420354,0.9560611399615452,0.035991370677948
57,33.83298207881651,0.926257556902621,0.05983152240514755
58,36.71074132755344,0.9346823857254782,0.02512313798069954
59,38.8849724204181,0.9751706572461858,0.015674840658903122
60,33.91116810856608,0.8583557769205815,0.14358779788017273
61,30.273447058499485,0.7505738569523461,0.23362523317337036
62,32.19847018488793,0.858475329337018,0.08761264383792877
63,39.505232540312505,0.9513674020432316,0.08284066617488861
64,40.58066525564192,0.9706674136979788,0.020938336849212646
65,33.14510772649299,0.8113184711933483,0.23858410120010376
66,36.3099844763293,0.9252184334348391,0.08452862501144409
67,31.875341292252955,0.8954471738148811,0.07815530896186829
68,33.15338331391432,0.8745096525801594,0.10791018605232239
69,30.490719575021267,0.7785350787650128,0.22210781276226044
